Frontside,Flipside,Category,Level
acknowledge,"تشخیص دادن، اذعان کردن، اعتراف کردن



1) recognize(if people~ something, they recognize how good or important it is)-2) to admit or accept that something is true


1)The Brazilian coach acknowledged the talent of his players. 2)Claire acknowledged that she was guilty.",,0
actually,"در واقع



1) in fact used to emphasize the real or exact truth of a situation 2) (spoken) used to add new information to what you have just said, to give your opinion, or to start a new conversation


I have known Barbara for years. since we were babies, actually",,0
added,"به اضافه ی



extra- in addition to what is usual or expected


cereal with added vitamins",,0
adept,"ماهر-زیردست



very skilled;accomplished, having a natural ability to do something that needs skill (at doing sth)



Melisa quickly became adept at predicting his moods-an adept negotiator’",,0
adequately,"به اندازه کافی


enough in quantity, or good enough in quality, for a particular purpose or need



While some patients can be adequately cared for at home, others are best served by care in a hospital.",,0
adherent,"طرفدار-هواخواه



supporter



Both have their adherents, among writers and among readers",,0
adjacency,"مجاورت-نزدیکی



nearing


The statistics take word adjacency into account.",,0
adjacent,"کنار



nearby: neighboring;a room, building, piece of land etc that is ~ to something is next to it



They work in adjacent buildings. They lived in a house adjacent to the railway.",,0
adjust,"تنظیم کردن-وقف دادن



modify, to change something slightly, especially to make it more correct, effective, or suitable",,0
administer,"مدیریت کردن


manage



1) Our office administers the affairs of the Society.",,0
admire,"تحسین کردن



to respect somebody for what they are or for what they have done


admire somebody for (doing) something= Lewis was much admired for his work on medieval literature.",,0
admit,"اجازه داخل شدن دادن-پذیرفتن-قبول کردن- اعتراف کردن



1. to let in;to allow someone to enter; 2.to agree unwillingly that something is true, confess



1)You may not like her, but you have to admit ""that"" she’s good at her job 2) Paul admitted to me that he sometimes feels jealous of my friendship with Stanley.",,0
adopt,"تصویب کردن



enact; (low,rule) to formally approve a proposal, amendment etc, especially by voting


Congress finally adopted the law after a two-year debate.",,0
advance,"پیشرفت-توسعه




improvement, a change, discovery, or invention that brings progress



1) advance in = Recent advances in genetics have raised moral questions. 2) advance on = an advance on previous treatments 3) the advances made in the understanding of mental handicap",,0
advent,"ظهور-پیدایش




arrival: appearance; beginning;the ~ of something


the advent of the computer",,0
affair,"امر-کار



matter, an event or set of related events, especially one that is impressive or shocking



the board admitted responsibility for the affair.The party was a very grand affair.",,0
afford,"-از عهده بر امدن-تهیه کردن-فراهم کردن-


provide,to provide something or allow something to happen



1)The room affords a beautiful view over the city. 2) afford (somebody) an opportunity/chance= It afforded her the opportunity to improve her tennis skills.",,0
aggravate,"خشمگین کردن - اذیت کردن- وضعیتی بدی یا بیماری یا جراحتی را بدتر 



(annoy: increase) 1) to make someone angry or annoyed; irritate,annoy:2) increase,to make a bad situation, an illness, or an injury worse



1)What really aggravates me is the way she won’t listen. 2) Their money problems were further aggravated by a rise in interest rates.",,0
aggregate,"جمع-مجموع



(formal)combined: overall



The smaller minorities got an aggregate of 1,327 votes.",,0
aggregation,"گروه-توده



group,when different things are combined to make a whole, or the whole that is produced


The single profit figure is an aggregation of many earned from completely different markets.",,0
agile,"باهوش-زیرک-چابک



astute: clever: moving and acting quickly: quick and active



1)Dogs are surprisingly agile.2) He was physically strong and mentally agile.",,0
air,"feeling




if something or someone has an air of confidence, mystery etc, they seem confident, mysterious etc=She had an air of quiet confidence. She looked at him with a determined air.",,0
alarm,"آزیر-هشدار



sound: warning



Car alarms are always going off in the street.",,0
albeit,"اگرچه



even though: although



He accepted the job, albeit with some hesitation.",,0
alleged,"بیان شده-ادعا شده-گزارش شده



asserted: reported, supposed;an alleged crime, fact etc is one that someone says has happened or is true, although it has not been proved



their alleged involvement in international terrorism",,0
allocation,"تخصیص




distribution



the allocation of funds to universities",,0
allow,"اجازه دادن



enable,permit



1)Our new system will ""allow for"" more efficient use of resources.2) allow somebody to do something= A 24-hour ceasefire allowed the two armies to reach an agreement.3)allow somebody something=a seat belt that allows the driver greater freedom of movement",,0
allude to,"اشاره به -ذکر کردن



refer to, suggest;to mention something or someone indirectly


Rick didn’t want to discuss his past, though he alluded darkly to ‘some bad things that happened.’",,0
ally with,"پیوستن به--متحد کردن



link to,to help and support other people or countries, especially in a war or disagreement



ally yourself to/with somebody=Some of the northern cities allied themselves with the emperor.",,0
alter,"تغییر دادن/کردن



make different; change; vary



Her face hadn’t altered much over the years.",,0
amazing,"شگفت انگیز


remarkable


He’s an amazing player to watch",,0
ambiguous,"مبهم-دارای بیش از یک معنی



more than one meaning: vague



The language in the Minister’s statement is highly ambiguous.",,0
ambitious,"جاه طلب-بلندهمت



keen/energetic



Alfred was intensely ambitious, obsessed with the idea of becoming rich.",,0
ambivalent,"-نامطمن-دمدمی-دارای دو جنبه



mixed (having mixed feelings ), uncertain, unsure, doubtful,not sure whether you want or like something or not;~ about



ambivalent about=We are both somewhat ambivalent about having a child.",,0
ample,"انبوه-فراوان



spacious, plentiful,more than enough




ample time/evidence/opportunity = You’ll have ample time for questions later.You will have ample opportunity to express your opinions during the debate.There is ample room for improvement.",,0
amplify,"تقویت کردن-توسعه دادن- توضیح دادن




magnify 2)explain





1)to increase the effects or strength of something =These stories only amplified her fears.2) explain something that you have said by giving more information about it=Would you care to amplify that remark?",,0
analogous to,"شبیه به



similar to



The report’s findings are analogous with/to our own.",,0
ancestor,"جد



forefather/progenitor



My ancestors were French.",,0
akin to,"شبیه به




very similar to something



Something akin to panic overwhelmed him.",,0
anchor,"لنگر انداختن-محکم بستن



hold (sth. especially a ship) in place- syn:moor



1)Three tankers were anchored in the harbor.2) The shelves should be securely anchored to the wall.",,0
ancient,"باستانی-مهن-قدیمی



antique: old- belonging to a long time in old history


the religion of ancient Egypt",,0
annihilate,"نابود کردن



completely remove: destroy, eradicate - to destroy something or someone completely



just one of these bombs could annihilate a city the size of New York city",,0
annually,"سالانه



yearly-once a year- ever year



he prize is awarded annually",,0
anomaly,"ناهنجاری




irregularity-~ (in something) a thing, situation, etc. that is different from what is normal or expected




various anomalies in the tax system.In those days, a woman professor was still an anomaly.the apparent anomaly that those who produced the wealth, the workers, were the poorest",,0
anonymous,"ناشناس



nameless/incognito- unknown by name



the anonymous author of collection poems",,0
antagonist,"مخالف-حریف-رقیب



competitor- opponen, battle


He sued several of his antagonists for libel.",,0
anticipate,"پیش بینی کردن-توقع داشتن



expect, foresee, predict, project, estimate


sales are better than anticipared",,0
antiseptic,"پاکیزه و تمیز-ضدعفونی کننده



clean (adj)completely free from infection-(n) a medicine that you put onto a wound to stop it from becoming infected



1)he dabbed (ضربه زدن) the cut with antiseptic.2) In the 1870s and 1880s, doctors began to follow the principles of antiseptic surgery.",,0
antithesis,"متناقض



opposite-the complete opposite of something



this is not democratic, it is antithesis of democracy.It seemed who they were was the antithesis of who they needed to be.",,0
antler,"شاخ گوزن



horn-one of two horns of a male",,0
anxiety,"اضطراب-نگرانی



worry, the state of feeling nervous or worried that something bad is going to happen



he felt a surge of anxiety",,0
apart from,"except for



به غیر از


1)we did not see anyone all day, apart from a couple of kids on the beach 2)He works until nine o'clock every evening, and that's quite apart from the work he does over the weekend.",,0
apparatus,"دستگاه-لوزام تجهیزات-سیستم-پروسه



1) equipment,a tool, machine, or set of equipment used especially for scientific, medical, or technical purposes 2) a system or process for doing something



1) firemen wearing breathing apparatus.2) ▪ the government's security apparatus",,0
apparent,"واضخ-مشخص



obvious



1) it is apparent from something that = It is apparent from scientific studies that the drug has some fairly nasty side effects.2) it is apparent to somebody that = It was apparent to everyone that he was seriously ill.",,0
apparently,"ظاهرا



clearly: seemingly- used to say that you have heard that something is true, although you are not completely sure about it



I was not there, but apparently it went well",,0
appeal,"جذابیت-تقاضا-تقاضا کردن



1) (n) attraction-being attractive-a quality that makes people like something or someone.2) (n) an urgent request for something important. 3) (v) to make a serious public request for help, money, information etc




What is the particular appeal of this island? The programme has a very wide appeal. -police are appealing for information about the incident",,0
appealing,"جذاب



attractive, interesting



the city offers an appealing combination sporting and cultural events",,0
appear,"به نظر رسیدن



seem; arise; opposite of vanish -come into sight; become visible or noticeable, typically without visible agent or apparent cause



she appeared not to know what was happening",,0
appearance,"ظهور-پیدایش-ظاهر-نشان دادن



1) arrival/ rise,when something new begins to exist or starts being used 2)showing up-the way that someone or something looks.



1) The industry has changed greatly with the appearance of new technologies.2)I like the appearance of stripped antique pine",,0
application,"کاربرد




use 1)use= the practical purpose for which a machine, idea etc can be used, or a situation when this is used 2) a formal, usually written, request for something such as a job, place at university, or permission to do something. 3) [uncountable] attention or effort over a long period of time



1) The research has many practical applications.2) You have to submit your application before the end of the month.3) Making your new business successful requires luck, patience, and application.",,0
appreciable,"محسوس-قابل تحسین



noticeable-large or important enough to be noticed



tea and coffee both contain appreciable amounts of caffeine. Military leaders have seen no appreciable change in the situation.",,0
approach,"نزدیک شدن-روش



1)move toward-come near or nearer to (someone or something) in distance or time 2)method



1) the train approached the main line.2)He decided to adopt a different approach and teach the Bible through story-telling.",,0
approximately,"تقریبا



roughly-more or less than a number or amount



these percentage are only approximate",,0
architecture,"معماری



structure- the style and design of a building or bulidings



1) he studied architecture at university.the 2) architecture of Venice",,0
archive,"بایگانی



record: stock: store- a place where a large number of history records are stored



interesting archive material",,0
architect,"معمار



a person who designs buildings/structure



an architect's decisions affect public safety",,0
arduous,"دشوار



difficult-involving or requiring strenuous effort; difficult and tiring



arduous task/work = the arduous task of loading all the boxes into the van. an arduous journey through the mountains",,0
arid,"خشک، بیابانی



dry; barren; thirsty; desert; opposite of wet and fertile - having little or no rain; too dry or barren to support vegetation



the arid plains north of Cape Town",,0
arise,"بوجود امدن - برخاستن - طلوع کردن - ظاهر شدن - رخ دادن




come about; emerge; appear;if a problem or difficult situation ~s, it begins to happen



a crisis has arisen in the foreign office",,0
arrangement,"تنظیم - ترتیب - نظم - آرایش - طبقه بندی



configuration; disposision; array; grouping; organization; alignment; classification; categorization - the action, process, or result of arranging or being arrange



they had made an agreement that they would share the profits equally",,0
array,"ارایه - صف - نظم - آرایش



1) range, arrangement, collection 2) a group of people or things, especially one that is large or impressive



1) there is a vast array of literature on the topic. 2) several arrays of solar panels will help provide power.3) a bewildering array of options.4)a vast/impressive/wide array = There was a vast array of colours to choose from.",,0
article,"قلم - شی - ماده - بند



item, object, thing, product, device, instrument




Guests are advised not to leave any articles of value in their hotel rooms.",,0
as a rule,"به طور کلی




in general, usually, generally, normally, ordinarily, as a general rule




1) As a general rule, we don't allow children in the bar. 2) any architect knows that, as a rule, old buildings are more soundly built than new ones.",,0
assert,"ادعا کردن، اثبات کردن، تشریح کردن




declare, allege -state a fact or belief confidently and forcefully




the company asserts that the cuts will not affect development",,0
assertion,"ادعا، اثبات




declaration, statement, defence - strong statement-a confident and forceful statement of fact or belief




his assertion that his father had deserted the family",,0
asset,"فرد/ویژگی سودمند و مفید-دارایی



1) advantage,something or someone that is useful because they help you succeed or deal with problems.2) the things that a company owns



1) He spoke of the beauty of the course and its location and said the club was a huge asset to tourism.2)A sense of humor is a great asset in this business.",,0
assimilate,"همانند ساختن، تلفیق کردن، جذب کردن




1) combine, integrate, absorb - to become part of a group, country, society, etc., or to make someone or something become part of a group, country etc 2) Take in and understand fully (information or ideas)




1) You shouldn't expect immigrants to assimilate into an alien culture immediately 2) Children find it easier to assimilate new information when it is presented within the structure of a story",,0
assistance,"کمک




help, aid, support, opposite of hindrance - the action of helping someone by sharing work




1) the work was completed with the assistance of carpenters.2) get/receive assistance = She got no assistance from her family.",,0
assorted,"مختلف، همه فن حریف، درخور، مناسب




sundry,various, miscellaneous, opposite of identical and similar - various sorts put together




1)bowls in assorted colours.2) assorted marine creatures.3) The website contains links to assorted investment sites.",,0
assume,"فرض کردن، پنداشتن، وانمود کردن




(believe: suppose: take on)1)believe: suppose: 2) take on, to start to have a particular quality or appearance.3) take or strat to have power or responsibility




1) topics which assume detailed knowledge of local events 2) These relationships assume great importance in times of crisis.3) he assumed full responsibility for all organizational work",,0
assumption,"فرض




premise, supposition, belief, theory, guess - a thing that is accepted as true or as certain to happen, without proof




they made certain assumptions about the market",,0
astonish,"متعجب ساختن، مبهوت کردن، گیج کردن، متحیر کردن




surprise, amaze -surprise or impress (someone) greatly




you never fail to astonish me",,0
astonishing,"خارق العاده، عجیب، حیرت انگیز




amazing,astoundingly




1) their astonishing success 2) an astonishing achievement",,0
astoundingly,"به طرز شگفت انگیزی، تعجب




astonishing,incredibly, surprisingly impressively or notably




astoundingly beautiful scenery",,0
astute,"باهوش




clever, sharp, nimble, agile, opposite of stupid




They would think me, if not a genius, then at least astute.",,0
at random,"بدون الگویی خاص - به صورت رندمم - به صورت تصادفی




randomly, arbitrarily, opposite of systematically, without a definite pattern




choose/select/pick something at random = 1) The gang picked their victims at random 2) he opened the book at random",,0
attachment,"ضمیمه، پیوست، الصاق، دلبستگی، وابستگی، تعلق خاطر




preference for, dependency, interest, a feeling that you like or love someone or something and that you would be unhappy without them




attachment to/for=a child’s attachment to its mother",,0
attain,"به دست اوردن، دست یافتن




achieve, accomplish, reach




More women are attaining positions of power.",,0
attainment,"دستیابی، دستاورد، حصول





achievement, accomplishment, realization - 1) success in achieving something or reaching a particular level.2)something that you have succeeded in achieving or learning, such as a skill




1)Their educational attainment was also being affected because their rooms were too cold to study in.2)a society remarkable for its cultural attainments",,0
attest,"گواهی دادن، شهادت دادن




confirm, endorse, testify, prove, show, reveal, be evidence of, display, exhibit, manifest, denote, evince, signify (to show or prove that something is true )




attest to=Luxurious furnishings attested to the wealth of the owner./",,0
attribute,"خصوصیت، ویژگی، نسبت دادن، به رسمیت شناختن، معتبر ساختن، اعتباری




1) characteristic, quality, property, element 2) credit with, accredit, allocate




1) What attributes should a good manager possess?. 2)attribute something to somebody/something=One should not attribute human motives to animals.3)a saying usually attributed to Confucius.4) The fall in the number of deaths from heart disease is generally attributed to improvements in diet.",,0
attribution,"-نسبت دادن -ویژگی-مشخصه



1) character, an ascribed quality, character, or right 2) the act of saying or thinking that something is the result or work of a particular person or thing:




1) The attribution of this painting to Rembrandt has never been questioned. 2)Supernatural powers were attributions of the gods.",,0
augment,"افزایش دادن سایز یا حجم چیزی، افزودن، تقویت کردن، زیاد شدن




increase, to increase the ""size or value"" of something by adding something to it





Any surplus was sold to augment their income.",,0
available,"موجود-در دسترس




obtainable, attainable, opposite of unavailable




1)make something available= With the Internet it is possible to make learning available wherever it is needed 2)become available= Luckily a house soon became available for us",,0
avenue,"ابزار، روش




means,method,direction, path, a possible way of achieving something




The president wants to explore every avenue towards peace in the region.",,0
avid,"مشتاق، حریص، ارزومند، متمایل




ambitious,enthusiastic, keen, eager, dedicated, extremely eager or interested




He took an avid interest in the project.
As a keen writer and avid newspaper reader, Jenny had always wanted to be a journalist.",,0
back up,"کپى پشتیبان تهیه کردن ،حمایت کردن




support, help





1.The plan’s success depends on how vigorously the UN will back it up with action. 2.The police officers are backed up by extra teams of people at the weekend.",,0
barely,"تنها، فقط، به سختی




just, scarcely, hardly, narrowly, only with great difficulty or effort




Mary had barely enough money to live on.",,0
barge,"قایق ،لنج



boat, scow, narrowboat



It was even better than going by barge.",,0
barrier,"مانع، سد، حصار




impediment, obstacle, block, stop



1.The mountains form a natural barrier between the two countries. 2.Problems with childcare remain the biggest barrier to women succeeding at work.",,0
battle,"مبارزه، ستیز، نبرد، نزاع، نبرد کردن، جنگ کردن




struggle, fight, combat, fight, conflict, duel




1. King Olaf died in battle, in 1030. 2. Now Haley is also battling the flu.3)fight a battle (also wage a battle formal) The police are fighting a tough battle against crime.",,0
be accustomed to,"خو گرفتن به، عادت داشتن




addicted, get used to


, opposite of unaccustomed,/I'm not accustomed to getting up so early.",,0
aware of,"آگاه از




knowledgeable, up to date, familiar with, opposite of unaware & ignorant & oblivious




The children are aware of the danger of taking drugs.",,0
beforehand,"قبل از رویداد دیگه ای به وقوع پیوستن




foreordain,before an action or event, in advance, before something else happens or is done




1)When you give a speech, it’s natural to feel nervous beforehand. 2) Almost all the food was prepared beforehand.",,0
be closer resemblance to,"بسیار شبیه به چیزی بودن




be more like



bear a (close/striking/uncanny(very strange and difficult to explain) etc) resemblance to somebody/something (=look like) Tina bears a striking resemblance to her mother.",,0
be consistent with,"سازگار با




be compatible with



The results are consistent with earlier research.",,0
be entitled to,"حق دادن، مستحق دانستن



have the right



Full-time employees are entitled to receive health insurance.",,0
entitled,"محق

موکل



 rightful",,0
be inclined,"تمایل داشتن



tend



He is inclined to look at everything from the standpoint of its practicality and is neither stingy nor extravagant.",,0
be susceptible to,"(در معرض بودن ( یک بیماری یا مشکل



be subject to, defenceless against



Older people are more susceptible to infections.",,0
beckon,"دعوت کردن، با اشاره صدا زدن، اشاره کردن



invite, attract, interest



She beckoned me to come in.",,0
become extinct,"منقرض شدن



die out



Dinosaurs became extinct a very long time ago.",,0
being,"بودن، موجود



creature, existence



And that electrical energy also affects human beings./intelligent/conscious/rational etc being = a story about alien beings who invade Earth",,0
beneficial,"سودمند



advantageous, helpful, useful, favourable




There is no evidence that the diet pills have any beneficial effect on weight loss.",,0
blossom,"شکوفه-شکوفه کردن درخت-شکوفا شدن-موفق تر و خوشحال تر شدن




1) flourish, thrive, prosper, succeed, bloom, burgeon.2)a small flower.3) if trees ~, they produce flowers




1)The cherry tree was covered in blossom./2) (When people blossom, they become more attractive, successful, or confident, and when good feelings or relationships blossom, they develop and become stronger) blossom into = The idea blossomed into a successful mail order business.Pete’s blossomed out in his new school.She is suddenly blossoming into a very attractive woman.",,0
boast,"به رخ کشیدن-مبالغه-دارا بودن



exaggerate: puff",,0
bombard,"بمباران کردن



assault: strike: assail",,0
boom,"رونق، توسعه



1)(n) expansion; a quick increase of business activity 2) (n) an increase in how popular or successful something is, or in how often it happens.3) (v) if business, trade, or a particular area is ~ing, it is increasing and being very successful",,0
boon,"مزیت



great benefit,something that is very useful and makes your life a lot easier or better



Is snow an environmental boon or a menace?. The bus service is a real boon to people in the village.The success of others is your boon not your bane.",,0
boost,"ترقى دادن ،جلوبردن ،بالابردن




raise, increase, improve,to increase or improve something and make it more successful



The plan was meant to boost agricultural production.The new resort area has boosted tourism. boost somebody’s confidence/morale(روحیه)/ego = The win boosted the team’s confidence.",,0
boundary,"مرز، کرانه



periphery",,0
branch,"شعبه، بخش، شاخه



division



The bank has branches all over the country.",,0
breakthrough,"پیشرفت غیر منتظره، انقلاب



revolution, success, advance, development, innovation, progress",,0
breed,"تولید کردن-ایجاد کردن شرایط یا احساس-تولید مثل کردن



reproducebreeding behavior: sitting on the eggs",,0
brew,"شروع به شکل گیری کردن



develop; (of an unwelcome event or situation) begin to develop.




(of an unwelcome event or situation) begin to develop.a storm was brewing.trouble begins to brew.A small headache suddenly began brewing between her eyes",,0
brilliant,"درخشان



bright, shining, light



We sat outside in the brilliant sunshine.",,0
brittle,"شکننده



breakable, fragile, frail, hard but liable to break easily



Relations between the two countries are still very brittle.The branches were dry and brittle.",,0
broad appeal,"محبوبیت گسترده



wide popularity



The new TV show has broad appeal",,0
broadly,"به طور کلی، گسترده



generally, extensively, mainly, roughly, approximately, commonly, usually



Broadly speaking, there are four types of champagne.",,0
bulk,"پرحجم ،بصورت عمده ،قسمت عمده




largest area: major part: great quantity: large part: large portion: majority



The great bulk of the evidence from the town, however, concerns pottery production and iron-working.",,0
burgeon,"درامدن، شروع برشدکردن



expand, to grow or develop quickly



1)The Vietnam anti-war movement began to burgeon in 1965. 2) the burgeoning market for digital cameras.3) The illegal diamond trade that was burgeoning in Kimberley ensured that there was a steady supply of prisoners",,0
bustling,"شلوغ، زنده



busy,lively



bustling with somebody/something The flower market was bustling with shoppers.The market was bustling with life.",,0
by and large,"روی هم رفته، کلاً




largely, mostly, mainly. Generally, basically, for the most part



By and large, most of the people in the town work at the factory.",,0
camouflage,"استتار، پوشش، مخفی کردن، پنهان کردن



hide: blend with circumstances: decorate: disguise



1. But like all good hunters going into the jungle, I needed camouflage. 2. Soldiers had camouflaged the trucks with branches and dirt.",,0
cardinal,"اصلی، اساسی



fundamental, basic, essential, vital, main, prime/~ importance/rule/principle/number



Having clean hands is one of the cardinal rules when preparing food.cardinal importance/rule/principle/number",,0
cargo,"بار، محموله ،کالاى حمل شده باکشتى



shipment, burden, load, baggage



The ship was carrying a cargo of oil-drilling equipment.",,0
catastrophic,"مضر، بد، مصیبت بار، فاجعه آمیز



badly harmful, awful, terrible, dreadful, miserable, unfortunate



The failure of the talks could have catastrophic consequences.catastrophic effect/result/ disaster/event/impact",,0
celebrated,"مشهور، معروف




famous, renowned



Van Gogh, perhaps Holland's most celebrated artist, died in poverty.",,0
central,"مهم، اصلى ،اساسى



essential, more important and having more influence than anything else



Education has become a ""central issue"" in public debate.Owen played a ""central role"" in the negotiations.central idea/theme/concern/ problem etc Education has become a central issue in public debate.",,0
certain,"تعيين شده ، مشخص شده



specified, determined, definite, opposite of undefined & nameless & general



We have certain reasons for our decision, which have to remain confidential.",,0
champion,"دفاع کردن، پشتیبانی کردن از-ترویج کردن



promote, to publicly fight for and defend an aim or principle, such as the rights of a group of people 2) someone who publicly fights for and defends an aim or principle, such as the rights of a group of people




She championed the cause of religious freedom.a champion of women’s rights",,0
chancy,"تصادفی، پرمخاطره




risky, unpredictable, uncertain, unsafe, opposite of safe & predictable




Making financial forecasts can be a very chancy business.",,0
channel,"هدایت کردن، فراهم کردن




direct, 1 to control and direct something such as money or energy towards a particular purpose",,0
chaotic,"بی نظم، پرهرج و مرج




disorganized-a ~ situation is one in which everything is happening in a confused way




The chaotic social and economic conditions could lead to civil war.a chaotic mixture of images.The city is a sprawling chaotic metropolis of some eight million residents.",,0
cherish,"گرامی داشتن-دوست داشتن


value,1)to keep hopes, memories, dream



I cherish the memory of that day",,0
chief,"رئیس، پیشرو، عمده، مهم


major,1 [only before noun] highest in rank.2 most important SYN main 3 (n)the most important person, or one of the most important people, in a company or organization",,0
chisel,"تراشیدن، حک کردن



carve, cut or shape (sth) with a ~




chisel something into/from/in etc something= Martin chiselled a hole in the door for the new lock.",,0
choose,"انتخاب کردن



opt, select, adopt, set, specify, opposite of reject & decline



I can't decide what I want. You choose.",,0
chronic,"مزمن، دیرینه، همیشگی




confirmed: inveterate: habitual: persistent,",,0
chronically,"دائماً



constantly, consistently, opposite of occasionally & temporarily




The service is chronically underfunded.patients who are chronically ill",,0
circuitous,"غیرمستقیم




indirect, going from one place to another in a way that is longer than the most direct way




He took us on a circuitous route to the hotel.",,0
circumstance,"پیشامد،شرایط محیط ، وضعیت




condition: situation



Prisoners can only leave their cells under certain circumstances.",,0
cite,"استناد کردن، نقل قول کردن




refer to, quote



Several factors have been cited as the cause of the unrest.",,0
classic,"معمولی ، نوعی




typical, having all the features that are typical or expected of a particular thing or situation




classic example/mistake/case etc Too many job hunters make the classic mistake of thinking only about what’s in it for them.",,0
clear,"آشکار، واضح



visible, apparent, evident, explicit, obvious, recognizable, opposite of vague & ambiguous & invisible




The question wasn’t very clear.",,0
cling to,"چسبیدن به ، الحاق شدن ،نگه داشتن



attach to: hold 



He clung to the hope that she would be cured.an attempt to cling to power",,0
attempt,"قصد
کوشش",,0
close,"با دقت


careful, watchful



e.g. a close look at something",,0
clue,"اشاره ، سرنخ





hint, indication, sign, guide",,0
cluster,"دسته ، گروه



group, bunch, aggregation




1) cluster of = a cluster of low farm buildings 2) a diamond cluster ring",,0
coating,"پوشش ، رویه ، جلد




covering, cover, skim, skin;a thin layer of something that covers a surface




The tent has a waterproof coating on both sides.a fine coating of dust",,0
coincide with,"همزمان با




be as the same time as: accord with, opposite of differ




His entry to the party coincided with his marriage.",,0
coincidence,"اتفاقی ، حوادث با احتمال بالا



likely events, fortune, accident, chance



‘I’m going to Appleby tomorrow.’ ‘What a coincidence! I’m going there too",,0
collaborate,"همکاری ، همکاری کردن



cooperate, work together",,0
collaboration,"همکاری، اثر مشترک




joint effect, cooperation, teamwork, alliance, association",,0
collect,"جمع آوری




gather, stack up, gather, assemble, accumulate, opposite of distribute & squander




The company collects information about consumer trends",,0
collide with,"برخورد با ، اصابت




run into: hit




I ran around the corner, and almost collided with Mrs Laurence",,0
colossal,"بزرگ ، عظیم الجثه



enormous-~ statue (مجسمه)/mistake/blunder(اشتباه بزرگ)/waste/sum (amount of money)",,0
commemorate,"جشن تجلیل برگزار کردن ، بزرگداشت



celebrate;to do something to show that you remember and respect someone important or an important event in the past




a ceremony to commemorate the war dead-Youngsters have recited poetry (از بر خواندن)to commemorate a century of war",,0
commonly,"رایج ، معمولی




1)often 2)generally/normally



Sodium chloride is more commonly known as salt",,0
compact,"مختصر ، فشرده ، جمع و جور




concise compressed




The compact design of the machine allows it to be stored easily",,0
comparable,"قابل مقایسه ، معادل




equivalent, similar to something so that we can make a comparison





A car of comparable size would cost far more abroad.the situation in Holland is comparable to that in England",,0
comparative,"مقایسه ای ، بطور نسبی




relative




The former agent did a comparative analysis of the manifesto and five pages of letters and essays authored by Theodore",,0
compatible,"سازگار ، تطابق




consistent, suitable




Will the software on my PC be compatible with a Mac?",,0
